id,file,emg_nom_fs,emg_eff_fs,emg_dur_s,emg_pct_valid,eda_nom_fs,eda_eff_fs,eda_dur_s,eda_pct_valid,ecg_nom_fs,ecg_eff_fs,ecg_dur_s,ecg_pct_valid,respitrace_nom_fs,respitrace_eff_fs,respitrace_dur_s,respitrace_pct_valid,torsoacc_nom_fs,torsoacc_eff_fs,torsoacc_dur_s,torsoacc_pct_valid,eye_nom_fs,eye_eff_fs,eye_dur_s,eye_pct_valid,xp11_nom_fs,xp11_eff_fs,xp11_dur_s,xp11_pct_valid,task,subject,session,run_level
1,/task-ils/sub-cp003/ses-20210206/level-01Brun-001,512,508.47,534.84,100,512,508.47,534.84,100,128,504.39,535.26,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.5,534.49,99.96,task-ils,sub-cp003,ses-20210206,level-01Brun-001
2,/task-ils/sub-cp003/ses-20210206/level-01Brun-007,512,509.33,471.96,100,512,509.33,471.96,100,128,503.35,472.29,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.5,471.97,100,task-ils,sub-cp003,ses-20210206,level-01Brun-007
3,/task-ils/sub-cp003/ses-20210206/level-01Brun-012,512,508.78,472.75,100,512,508.78,472.75,100,128,505.46,472.85,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.5,471.85,100,task-ils,sub-cp003,ses-20210206,level-01Brun-012
4,/task-ils/sub-cp003/ses-20210206/level-02Brun-003,512,509.08,519.63,100,512,509.08,519.63,100,128,504.33,519.58,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.63,519.49,100,task-ils,sub-cp003,ses-20210206,level-02Brun-003
5,/task-ils/sub-cp003/ses-20210206/level-02Brun-008,512,508.9,511.19,100,512,508.9,511.19,100,128,504.58,511.08,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.57,510.86,100,task-ils,sub-cp003,ses-20210206,level-02Brun-008
6,/task-ils/sub-cp003/ses-20210206/level-02Brun-010,512,509.1,526.86,100,512,509.1,526.86,100,128,504.26,527.68,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.5,527,99.96,task-ils,sub-cp003,ses-20210206,level-02Brun-010
7,/task-ils/sub-cp003/ses-20210206/level-03Brun-002,512,509.05,526.36,100,512,509.05,526.36,100,128,504.48,526.21,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.7,526.39,100,task-ils,sub-cp003,ses-20210206,level-03Brun-002
8,/task-ils/sub-cp003/ses-20210206/level-03Brun-005,512,508.69,515.27,100,512,508.69,515.27,100,128,503.36,515.57,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.63,515.38,100,task-ils,sub-cp003,ses-20210206,level-03Brun-005
9,/task-ils/sub-cp003/ses-20210206/level-03Brun-011,512,509.02,515.89,100,512,509.02,515.89,100,128,504.36,515.94,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.45,515.34,97.03,task-ils,sub-cp003,ses-20210206,level-03Brun-011
10,/task-ils/sub-cp003/ses-20210206/level-04Brun-004,512,509.26,513.75,100,512,509.26,513.75,100,128,504.38,513.76,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.55,512.89,99.96,task-ils,sub-cp003,ses-20210206,level-04Brun-004
11,/task-ils/sub-cp003/ses-20210206/level-04Brun-006,512,509.17,515.36,100,512,509.17,515.36,100,128,502.95,516.33,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.55,515.96,99.87,task-ils,sub-cp003,ses-20210206,level-04Brun-006
12,/task-ils/sub-cp003/ses-20210206/level-04Brun-009,512,508.69,520.55,100,512,508.69,520.55,100,128,505.85,520.54,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,250,NaN,0,0,4,4.52,520.34,99.53,task-ils,sub-cp003,ses-20210206,level-04Brun-009
13,/task-ils/sub-cp004/ses-20210330/level-01Brun-001,128,127.68,515.08,100,128,127.68,515.08,100,128,127.9,515.87,100,n/a,n/a,n/a,n/a,128,127.65,515.62,100,250,252.37,514.88,100,4,4.99,515.43,99.96,task-ils,sub-cp004,ses-20210330,level-01Brun-001
14,/task-ils/sub-cp004/ses-20210330/level-01Brun-007,128,127.68,413.9,100,128,127.68,413.9,100,128,127.95,414.19,100,n/a,n/a,n/a,n/a,128,127.68,414.15,100,250,252.29,414.01,100,4,4.9,413.92,100,task-ils,sub-cp004,ses-20210330,level-01Brun-007
15,/task-ils/sub-cp004/ses-20210330/level-01Brun-012,128,127.68,412.98,100,128,127.68,412.98,100,128,127.96,412.84,100,n/a,n/a,n/a,n/a,128,127.55,413.29,100,250,252.87,413.02,100,4,5.37,412.91,100,task-ils,sub-cp004,ses-20210330,level-01Brun-012
16,/task-ils/sub-cp004/ses-20210330/level-02Brun-003,128,127.63,440.9,100,128,127.63,440.9,100,128,127.98,440.64,100,n/a,n/a,n/a,n/a,128,127.67,440.64,100,250,252.19,440.58,100,4,5.07,440.33,99.96,task-ils,sub-cp004,ses-20210330,level-02Brun-003
17,/task-ils/sub-cp004/ses-20210330/level-02Brun-008,128,127.67,438.53,100,128,127.67,438.53,100,128,127.84,438.72,100,n/a,n/a,n/a,n/a,128,127.68,438.59,100,250,252.64,438.91,100,4,5.02,431.93,99.95,task-ils,sub-cp004,ses-20210330,level-02Brun-008
18,/task-ils/sub-cp004/ses-20210330/level-02Brun-010,128,127.67,431.15,100,128,127.67,431.15,100,128,128.09,430.73,100,n/a,n/a,n/a,n/a,128,127.67,431.13,100,250,252.56,430.93,100,4,5.44,430.94,100,task-ils,sub-cp004,ses-20210330,level-02Brun-010
