feature_set,model,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_macro_f1,mean_kappa,mean_balanced_acc,n_folds
full_enhanced (raw + zscore + interactions),ML_Model (GBDT),0.6344001236858379,0.1692563762306559,0.16666666666666666,1.0,0.6194727891156463,0.512292320196192,0.632142857142857,35
full_enhanced (raw + zscore + interactions),ML_Model (Random Forest),0.5966295609152752,0.22356473079383557,0.0,1.0,0.5728911564625849,0.4616786982146832,0.5964285714285714,35
full_enhanced (raw + zscore + interactions),Math_Model (Logistic Regression),0.5711193568336426,0.1936262836963378,0.25,1.0,0.5477169655741085,0.42712110749399884,0.569047619047619,35
full_enhanced (raw + zscore + interactions),ML_Model (SVM RBF),0.566465677179963,0.19790188957431024,0.16666666666666666,1.0,0.5300652125652126,0.4207845231496984,0.5636904761904761,35
raw + zscore,ML_Model (GBDT),0.6282312925170067,0.1533761469068465,0.16666666666666666,1.0,0.6136451247165533,0.5042685978867554,0.6261904761904761,35
raw + zscore,ML_Model (Random Forest),0.598500309214595,0.22145819140022835,0.125,0.9166666666666666,0.5777607709750567,0.46425016440141625,0.5982142857142858,35
raw + zscore,ML_Model (SVM RBF),0.5817254174397033,0.20336504091482616,0.16666666666666666,1.0,0.5503481439195724,0.4411778978908993,0.5791666666666666,35
raw + zscore,Math_Model (Logistic Regression),0.5542362399505257,0.20973242364215952,0.16666666666666666,0.9166666666666666,0.5318032364460935,0.404093956423149,0.5511904761904761,35
raw_only (baseline),ML_Model (GBDT),0.4879715522572665,0.14666745929670064,0.25,0.8181818181818182,0.43906097870383587,0.3189547612795102,0.49166666666666664,35
raw_only (baseline),ML_Model (Random Forest),0.4743970315398887,0.1650296580963174,0.16666666666666666,0.75,0.4098097933812219,0.2997133912027528,0.4732142857142857,35
raw_only (baseline),ML_Model (SVM RBF),0.4280148423005566,0.1901002456899421,0.0,0.9166666666666666,0.3621204985490699,0.24138662983990591,0.4309523809523809,35
raw_only (baseline),Math_Model (Logistic Regression),0.3584570191713049,0.1556171557854422,0.08333333333333333,0.75,0.28330978545264257,0.14608966535004556,0.3601190476190476,35
