subject,model,accuracy,macro_f1,kappa,balanced_accuracy,n_test,feature_set,n_features
sub-cp003,Math_Model (Logistic Regression),0.25,0.1,0.0,0.25,12,raw_only (baseline),27
sub-cp004,Math_Model (Logistic Regression),0.5,0.375,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp005,Math_Model (Logistic Regression),0.5,0.4178571428571428,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp006,Math_Model (Logistic Regression),0.4166666666666667,0.3653846153846154,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp008,Math_Model (Logistic Regression),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp009,Math_Model (Logistic Regression),0.125,0.05555555555555555,-0.16666666666666674,0.125,8,raw_only (baseline),27
sub-cp011,Math_Model (Logistic Regression),0.4166666666666667,0.3611111111111111,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp012,Math_Model (Logistic Regression),0.3333333333333333,0.23214285714285715,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp013,Math_Model (Logistic Regression),0.3333333333333333,0.25,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp014,Math_Model (Logistic Regression),0.16666666666666666,0.07692307692307693,-0.11111111111111116,0.16666666666666666,12,raw_only (baseline),27
sub-cp015,Math_Model (Logistic Regression),0.3333333333333333,0.2153846153846154,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp016,Math_Model (Logistic Regression),0.5833333333333334,0.5303571428571429,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp017,Math_Model (Logistic Regression),0.5833333333333334,0.49999999999999994,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp018,Math_Model (Logistic Regression),0.3333333333333333,0.2153846153846154,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp019,Math_Model (Logistic Regression),0.4166666666666667,0.29166666666666663,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp020,Math_Model (Logistic Regression),0.4166666666666667,0.375,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
