subject,accuracy,macro_f1,kappa,n_test
sub-cp003,0.6666666666666666,0.6267857142857143,0.5555555555555556,12
sub-cp004,0.6666666666666666,0.6369047619047619,0.5555555555555556,12
sub-cp005,0.3333333333333333,0.30833333333333335,0.11111111111111116,12
sub-cp006,0.5833333333333334,0.47916666666666663,0.4444444444444444,12
sub-cp008,0.6666666666666666,0.6595238095238095,0.5555555555555556,12
sub-cp009,0.25,0.29166666666666663,0.0,8
sub-cp011,0.6666666666666666,0.6761904761904761,0.5555555555555556,12
sub-cp012,0.9166666666666666,0.9142857142857143,0.8888888888888888,12
sub-cp013,0.08333333333333333,0.05555555555555555,-0.22222222222222232,12
sub-cp014,0.5,0.41666666666666663,0.33333333333333337,12
sub-cp015,0.6666666666666666,0.6458333333333333,0.5555555555555556,12
sub-cp016,0.5,0.4236111111111111,0.33333333333333337,12
sub-cp017,0.9166666666666666,0.9142857142857144,0.8888888888888888,12
sub-cp018,0.6666666666666666,0.6571428571428571,0.5555555555555556,12
sub-cp019,0.5833333333333334,0.5553571428571429,0.4444444444444444,12
sub-cp020,0.6666666666666666,0.6541666666666667,0.5555555555555556,12
sub-cp022,0.6666666666666666,0.6553571428571429,0.5555555555555556,12
sub-cp023,0.4166666666666667,0.38095238095238093,0.2222222222222222,12
sub-cp024,0.4166666666666667,0.369047619047619,0.2222222222222222,12
sub-cp025,0.75,0.7309523809523809,0.6666666666666667,12
sub-cp026,0.5714285714285714,0.49166666666666664,0.41666666666666663,7
sub-cp027,0.5454545454545454,0.5333333333333333,0.39560439560439564,11
sub-cp028,0.8181818181818182,0.8309523809523809,0.7555555555555555,11
sub-cp029,0.8333333333333334,0.8125,0.7777777777777778,12
sub-cp030,0.6363636363636364,0.5833333333333334,0.5217391304347826,11
sub-cp031,0.6666666666666666,0.6571428571428571,0.5714285714285714,12
sub-cp032,0.5833333333333334,0.5571428571428572,0.4444444444444444,12
sub-cp033,0.6666666666666666,0.6458333333333333,0.5555555555555556,12
sub-cp035,0.5833333333333334,0.5059523809523809,0.4444444444444444,12
sub-cp036,0.25,0.29642857142857143,0.0,12
sub-cp037,0.75,0.7428571428571429,0.6666666666666667,12
sub-cp038,0.5833333333333334,0.5750000000000001,0.4444444444444444,12
sub-cp039,0.25,0.21726190476190477,0.0,12
sub-cp042,0.4166666666666667,0.3678571428571429,0.2222222222222222,12
sub-cp043,0.5833333333333334,0.5416666666666666,0.4444444444444444,12
