subject,accuracy,macro_f1,kappa,balanced_accuracy,n_test
sub-cp003,0.5,0.45039682539682535,0.33333333333333337,0.5,12
sub-cp004,0.75,0.6517857142857143,0.6666666666666667,0.75,12
sub-cp005,0.5,0.42857142857142855,0.33333333333333337,0.5,12
sub-cp006,0.6666666666666666,0.6309523809523809,0.5555555555555556,0.6666666666666666,12
sub-cp008,0.4166666666666667,0.34090909090909094,0.2222222222222222,0.41666666666666663,12
sub-cp009,0.25,0.22916666666666666,0.0,0.25,8
sub-cp011,0.5833333333333334,0.5095238095238095,0.4444444444444444,0.5833333333333333,12
sub-cp012,0.75,0.7375,0.6666666666666667,0.75,12
sub-cp013,0.16666666666666666,0.1111111111111111,-0.11111111111111116,0.16666666666666666,12
sub-cp014,0.6666666666666666,0.580952380952381,0.5555555555555556,0.6666666666666666,12
sub-cp015,0.75,0.7416666666666667,0.6666666666666667,0.75,12
sub-cp016,0.6666666666666666,0.6666666666666667,0.5555555555555556,0.6666666666666666,12
sub-cp017,0.6666666666666666,0.6041666666666666,0.5555555555555556,0.6666666666666666,12
sub-cp018,0.75,0.7476190476190476,0.6666666666666667,0.7499999999999999,12
sub-cp019,0.5,0.41666666666666663,0.33333333333333337,0.5,12
sub-cp020,0.5833333333333334,0.5625,0.4444444444444444,0.5833333333333333,12
sub-cp022,0.75,0.7267857142857143,0.6666666666666667,0.75,12
sub-cp023,0.75,0.7285714285714285,0.6666666666666667,0.75,12
sub-cp024,0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12
sub-cp025,0.8333333333333334,0.8285714285714286,0.7777777777777778,0.8333333333333333,12
sub-cp026,0.42857142857142855,0.3333333333333333,0.19999999999999984,0.375,7
sub-cp027,0.45454545454545453,0.4095238095238095,0.27472527472527475,0.45833333333333326,11
sub-cp028,0.5454545454545454,0.45535714285714285,0.40860215053763427,0.5833333333333333,11
sub-cp029,0.6666666666666666,0.6458333333333333,0.5555555555555556,0.6666666666666666,12
sub-cp030,0.45454545454545453,0.29166666666666663,0.2499999999999999,0.41666666666666663,11
sub-cp031,0.5833333333333334,0.5392857142857143,0.4736842105263158,0.6666666666666666,12
sub-cp032,0.6666666666666666,0.6595238095238094,0.5555555555555556,0.6666666666666666,12
sub-cp033,0.5833333333333334,0.5571428571428572,0.4444444444444444,0.5833333333333333,12
sub-cp035,0.5,0.45833333333333326,0.33333333333333337,0.5,12
sub-cp036,0.3333333333333333,0.26666666666666666,0.11111111111111116,0.3333333333333333,12
sub-cp037,0.5833333333333334,0.575,0.4444444444444444,0.5833333333333333,12
sub-cp038,0.6666666666666666,0.675,0.5555555555555556,0.6666666666666666,12
sub-cp039,0.4166666666666667,0.3392857142857143,0.2222222222222222,0.41666666666666663,12
sub-cp042,0.5,0.46136363636363636,0.33333333333333337,0.5,12
sub-cp043,0.5833333333333334,0.5642857142857143,0.4444444444444444,0.5833333333333333,12
