Feature,Domain,Test_Used,Test_Statistic,p_value,ANOVA_p,Kruskal_p,Mean_Level_1,Mean_Level_2,Mean_Level_3,Mean_Level_4,Corr_Flight_Error_rho,Corr_Flight_Error_p,Valid_N,q_value_FDR,Significant_p05
overall_gaze_entropy_LY,Oculomotor (Pupil/Gaze),ANOVA (F),12.767766900783817,5.636266035236798e-08,5.636266035236798e-08,3.3987424266241843e-07,17.06882087271289,17.26572569571387,17.43573594434667,17.55178055813294,-0.03268909966042968,0.5176504223144159,394,4.2271995264275985e-06,True
gaze_entropy_y,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),33.63166630343835,2.369582510526162e-07,1.4701657795754136e-06,2.369582510526162e-07,2.3095620912223844,2.251458814749421,2.1693066182587466,2.131019184849549,0.07583508154249191,0.13292537700133178,394,7.099693527274032e-06,True
psd_max_LY,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),33.259043843745076,2.839877410909613e-07,5.824011787974128e-07,2.839877410909613e-07,2.3454691116566556e-05,2.0391159392851723e-05,1.8078984687265004e-05,1.7058446774294855e-05,0.11447458323789099,0.023055642924575785,394,7.099693527274032e-06,True
pupil_diam_kurt,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),32.42348662536233,4.261109799958048e-07,1.580473121990958e-05,4.261109799958048e-07,0.4983348682712139,0.7325767510044259,1.7124855569778452,1.1688143986779984,0.0808467725124132,0.10909200484079674,394,7.98958087492134e-06,True
overall_gaze_entropy_RY,Oculomotor (Pupil/Gaze),ANOVA (F),10.998950781280763,6.008695456906485e-07,6.008695456906485e-07,1.4548709704633276e-06,17.120711091146152,17.317722088989072,17.47285035214287,17.578144954255848,-0.06893655092107773,0.17205545555248192,394,9.013043185359727e-06,True
psd_max_RY,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),30.858558084168635,9.103803881351818e-07,1.22708525178377e-06,9.103803881351818e-07,2.2522319415821377e-05,1.97433929524513e-05,1.7555634621593243e-05,1.686695134850689e-05,0.15860920866823985,0.0015868379959091284,394,1.1379754851689773e-05,True
pupil_diam_kurt_R,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),20.28660432389529,0.0001480389549807122,0.002226167980734566,0.0001480389549807122,24.334511246458575,25.444882717904193,30.599955348224228,32.30664333029885,-0.05133775400943616,0.30941132119099723,394,0.0015861316605076308,True
fix_dur_skew,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),19.951480875536845,0.00017371807598738843,0.4286699311990384,0.00017371807598738843,3.5767002888427264,3.4341840260498664,3.3019216349449128,3.136929879031586,-0.10141267725908926,0.044243375190117895,394,0.0016286069623817664,True
overall_gaze_entropy_RZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),18.610606599978382,0.00032905719176748433,0.0007380197135288478,0.00032905719176748433,15.481644872004402,15.649417804103596,15.864289309504324,16.17539011634186,0.00519032957891417,0.9182022977163228,394,0.002742143264729036,True
pupil_diam_skew_R,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),17.86266537273491,0.00046948653566583897,0.003661955657649881,0.00046948653566583897,-4.402644093726222,-4.478503478558947,-4.915814731540374,-4.824706480887639,0.07304828000253095,0.14781453972474282,394,0.0032270790705671805,True
pupil_diam_kurt_L,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),17.84560156225666,0.0004733049303498531,0.004163984946306306,0.0004733049303498531,23.350214955815265,24.3711373325221,28.307958530858947,31.244091525396676,-0.09070142386056573,0.07211997289813368,394,0.0032270790705671805,True
psd_max_RZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),17.35122233476045,0.0005983989130025647,0.00046351292236660846,0.0005983989130025647,7.464808107030992e-05,7.125504651006031e-05,6.1019895953988985e-05,5.214097871280933e-05,0.022684748961742787,0.6534990773787639,394,0.0037399932062660295,True
fix_density_kurt,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),16.192188236572065,0.0010356012199269735,0.48474095480258195,0.0010356012199269735,50.57102095925814,53.57621619747112,50.8964772367929,78.77173405601674,-0.03294003736597813,0.5144394868136347,394,0.005875674053116876,True
fix_density_skew,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),16.07063230196377,0.0010967924899151502,0.08925241428131095,0.0010967924899151502,5.8749480235144995,5.965629565288316,6.3033940047069725,7.256547493409094,-0.03534170152048826,0.48423809560230197,394,0.005875674053116876,True
overall_gaze_entropy_LZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),15.908404612843924,0.0011840849270691308,0.00241133831691378,0.0011840849270691308,15.41188804492359,15.539577471264394,15.755768308400066,16.045616396779792,-0.036378609865932755,0.4715010486607714,394,0.005920424635345654,True
psd_max_LZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),15.447141861048976,0.001471792245508359,0.10386023310599118,0.001471792245508359,7.889919267027339e-05,7.892568538221853e-05,6.948873815971179e-05,6.229281505270747e-05,0.0621390624563152,0.21843662243493744,394,0.006899026150820433,True
pupil_diam_stdev_R,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),15.11787352900842,0.0017186387913081674,0.005699266251630454,0.0017186387913081674,0.8410724158006985,0.824641320329176,0.7763078476659688,0.7337305588181525,0.13220326346546146,0.008604925862409907,394,0.007582229961653679,True
pupil_diam_std_mm,Oculomotor (Pupil/Gaze),ANOVA (F),5.069845298484621,0.0018690884616643139,0.0018690884616643139,0.0020039011908373596,0.3205044221222716,0.30148015007542656,0.26923898595984347,0.3025194453766582,0.2085089267802426,3.025035280185543e-05,394,0.007787868590267973,True
