pilot_id,mission_id,segment_id,experience_group,years_experience,mission_type,difficulty_tier,difficulty_rank,target_count,required_engagements,visibility,secondary_cognitive_task,threat_density,friendly_aircraft_count,information_update_rate_per_min,display_complexity,flight_phase,window_duration_s,D_task_z,D_perceptual_z,D_cognitive_z,D_tactical_z,D_temporal_z,latent_workload,engagement_time_s,hit_rate,target_disengagement_time_s,altitude_error_ft,tracking_error_deg,navigation_error_nm,mission_completion,HR_bpm,SDNN_ms,RMSSD_ms,LF_HF_ratio,EEG_theta_rel_power,EEG_alpha_rel_power,EEG_delta_rel_power,fixation_rate_per_min,fixation_duration_ms,blink_rate_bpm,pupil_diameter_mm,nasa_tlx_subjective_proxy,workload_source,generator_version,parameter_seed,workload_class_3lvl,perceptual_cognitive_condition,confidence,validation_flag
P001,M000001,M000001_S01,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,baseline_rest,41.0,-1.427,-1.344,-1.389,0.453,-1.285,-1.7646,1.86,0.899,3.8,28.0,1.22,0.07,1,72.9,61.6,32.3,1.46,0.1619,0.371,0.1993,145.7,305.8,15.5,4.04,24.7,scenario_derived,v1.0,42,low,LV_NoTask,0.982,True
P001,M000001,M000001_S02,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,takeoff,43.8,-0.993,-0.406,-1.056,0.453,-1.014,-1.0717,3.53,0.901,3.32,33.2,1.39,0.61,1,72.8,60.9,37.6,1.39,0.1469,0.3756,0.1998,150.7,296.6,13.1,4.0,31.6,scenario_derived,v1.0,42,low,LV_NoTask,0.989,True
P001,M000001,M000001_S03,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,climb,47.3,-1.137,-0.719,-1.167,0.453,-1.122,-0.8497,3.85,0.869,2.49,40.4,0.72,0.05,1,72.5,57.3,37.0,1.68,0.1537,0.3533,0.2169,153.9,299.2,12.1,3.9,34.4,scenario_derived,v1.0,42,low,LV_NoTask,0.99,True
P001,M000001,M000001_S04,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,cruise,49.7,-1.21,-0.875,-1.222,0.453,-1.172,-1.4901,2.83,0.804,3.41,7.3,1.1,0.31,1,74.5,51.4,35.6,1.51,0.1598,0.3814,0.2154,154.9,305.3,11.6,3.93,25.7,scenario_derived,v1.0,42,low,LV_NoTask,0.985,True
P001,M000001,M000001_S05,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,attack_task,9.6,-0.05,1.625,-0.333,0.453,2.817,0.5193,6.07,0.723,3.06,67.4,1.67,0.33,0,77.0,61.5,35.8,1.94,0.1906,0.3637,0.2345,168.3,272.2,14.1,4.24,66.6,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000001,M000001_S06,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,attack_task,12.3,-0.05,1.625,-0.333,0.453,1.92,0.4787,7.47,0.842,3.32,39.3,1.62,0.51,1,75.4,58.9,33.7,2.13,0.1851,0.3743,0.214,166.3,301.1,16.1,4.12,61.6,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000001,M000001_S07,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,attack_task,15.5,-0.05,1.625,-0.333,0.453,1.253,0.0366,6.48,0.906,3.21,38.2,1.4,0.29,1,74.6,51.8,42.1,1.54,0.1735,0.3592,0.1922,152.8,307.1,14.2,3.99,67.3,scenario_derived,v1.0,42,medium,LV_NoTask,0.99,True
P001,M000001,M000001_S08,experienced,10.8,ATA,medium,2,5,2,low,0,2,1,7.28,3,landing_rest,48.3,-1.065,-0.562,-1.111,0.453,-1.085,-0.8138,4.51,0.913,2.18,19.2,1.24,0.06,1,70.7,66.9,40.2,1.59,0.168,0.3737,0.2095,140.5,275.7,15.6,4.01,42.6,scenario_derived,v1.0,42,low,LV_NoTask,0.99,True
P001,M000002,M000002_S01,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,baseline_rest,44.0,-1.355,-1.437,-1.389,1.02,-1.288,-1.0105,5.56,0.801,3.2,13.1,1.01,0.24,1,75.2,54.8,36.4,1.59,0.1556,0.3501,0.2142,159.0,307.8,11.4,4.05,21.9,scenario_derived,v1.0,42,low,NV_NoTask,0.99,True
P001,M000002,M000002_S02,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,takeoff,46.2,-0.485,-1.062,-1.056,1.02,-1.031,-1.4008,4.82,0.914,2.74,28.5,0.87,0.45,1,70.7,57.4,33.0,1.54,0.1582,0.3387,0.2021,142.8,332.1,11.9,3.83,31.4,scenario_derived,v1.0,42,low,NV_NoTask,0.986,True
P001,M000002,M000002_S03,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,climb,50.4,-0.775,-1.187,-1.167,1.02,-1.135,-1.388,5.47,0.806,2.26,18.1,1.46,0.17,1,76.2,69.3,36.2,1.49,0.18,0.3514,0.2178,141.9,310.0,14.8,3.88,19.1,scenario_derived,v1.0,42,low,NV_NoTask,0.986,True
P001,M000002,M000002_S04,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,cruise,46.1,-0.92,-1.25,-1.222,1.02,-1.16,-1.0678,5.72,0.951,2.61,30.3,1.25,0.78,1,71.4,64.0,40.4,1.41,0.1577,0.3824,0.1992,146.7,309.8,17.3,3.91,19.7,scenario_derived,v1.0,42,low,NV_NoTask,0.989,True
P001,M000002,M000002_S05,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,attack_task,6.0,1.4,-0.25,-0.333,1.02,5.333,0.2146,7.86,0.844,2.95,21.8,1.21,0.71,1,74.6,57.5,35.4,1.7,0.178,0.352,0.2096,138.1,306.5,15.9,4.01,64.8,scenario_derived,v1.0,42,medium,NV_NoTask,0.99,True
P001,M000002,M000002_S06,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,attack_task,7.5,1.4,-0.25,-0.333,1.02,4.018,0.5712,8.53,0.866,3.67,57.3,2.33,0.77,0,75.3,59.8,32.4,2.07,0.2116,0.3493,0.1902,157.2,313.1,14.1,4.16,66.3,scenario_derived,v1.0,42,high,NV_NoTask,0.99,True
P001,M000002,M000002_S07,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,attack_task,12.9,1.4,-0.25,-0.333,1.02,1.758,0.6438,9.63,0.883,4.07,46.7,1.85,1.18,0,80.4,56.7,32.5,1.96,0.2074,0.3566,0.1956,161.3,319.6,12.3,3.98,72.9,scenario_derived,v1.0,42,high,NV_NoTask,0.99,True
