Model,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Extreme_Diff_Accuracy (1 vs 4),Total_Test_Samples,LOSO_Folds,Feature_Subset,Num_Features
Math_Model (Multinomial Logistic Regression),0.4015151515151515,0.39424159854315777,0.3940792219043444,0.2023186237845923,0.51010101010101,396,34,Multimodal_Significant (28 feats),28
ML_Model (Random Forest),0.3888888888888889,0.3846308555272212,0.3846312851983461,0.18525445919980965,0.5,396,34,Multimodal_Significant (28 feats),28
ML_Model (Support Vector Machine - RBF),0.3888888888888889,0.37346769792150575,0.3732114510667628,0.1854622105871554,0.5353535353535354,396,34,Multimodal_Significant (28 feats),28
ML_Model (Gradient Boosted Trees - GBDT),0.37373737373737376,0.37145257336749027,0.37148992156270927,0.16501156305264597,0.4797979797979798,396,34,Multimodal_Significant (28 feats),28
Math_Model (Multinomial Logistic Regression),0.3813131313131313,0.37408618228766477,0.3738596002456594,0.1752384514681129,0.4898989898989899,396,34,Oculomotor_Only (26 feats),24
ML_Model (Random Forest),0.3813131313131313,0.37539821496031583,0.37528408908553573,0.1752945376651197,0.51010101010101,396,34,Oculomotor_Only (26 feats),24
ML_Model (Support Vector Machine - RBF),0.37626262626262624,0.3706553869501301,0.3703264264678555,0.16835016835016836,0.47474747474747475,396,34,Oculomotor_Only (26 feats),24
ML_Model (Gradient Boosted Trees - GBDT),0.4065656565656566,0.4046794725443685,0.40457419204550843,0.20887528691660295,0.51010101010101,396,34,Oculomotor_Only (26 feats),24
Math_Model (Multinomial Logistic Regression),0.3207070707070707,0.3145486969000474,0.31504790792363574,0.09355162613386891,0.3333333333333333,396,34,Autonomic_Only (ECG/EDA/EMG),31
ML_Model (Random Forest),0.31565656565656564,0.30702319815652357,0.3074180538000089,0.08676560691674029,0.3888888888888889,396,34,Autonomic_Only (ECG/EDA/EMG),31
ML_Model (Support Vector Machine - RBF),0.29545454545454547,0.2635453247488583,0.2646543384308888,0.0590379505348505,0.23232323232323232,396,34,Autonomic_Only (ECG/EDA/EMG),31
ML_Model (Gradient Boosted Trees - GBDT),0.3181818181818182,0.3129062995861347,0.3129049818331852,0.09064620932487377,0.398989898989899,396,34,Autonomic_Only (ECG/EDA/EMG),31
Math_Model (Multinomial Logistic Regression),0.29292929292929293,0.27706228907308394,0.2776931440548802,0.056002996815883055,0.23232323232323232,396,34,Personalized_Delta_Only (7 feats),9
ML_Model (Random Forest),0.3106060606060606,0.2916026480011324,0.2921189535648434,0.08018241840520024,0.4292929292929293,396,34,Personalized_Delta_Only (7 feats),9
ML_Model (Support Vector Machine - RBF),0.29545454545454547,0.22536667788434572,0.22700177499941926,0.057962858750703505,0.2727272727272727,396,34,Personalized_Delta_Only (7 feats),9
ML_Model (Gradient Boosted Trees - GBDT),0.2727272727272727,0.2658721678637648,0.2661639525039796,0.030220574480025797,0.35353535353535354,396,34,Personalized_Delta_Only (7 feats),9
Math_Model (Multinomial Logistic Regression),0.28921568627450983,0.26167261917952855,0.26256905401612096,0.05050796860705864,0.2696078431372549,408,35,Raw_Autonomic_Only (7 feats),7
ML_Model (Random Forest),0.27450980392156865,0.26780459800609613,0.2681468215820024,0.032168101168437824,0.3382352941176471,408,35,Raw_Autonomic_Only (7 feats),7
ML_Model (Support Vector Machine - RBF),0.2916666666666667,0.25367079931303516,0.2548720232835876,0.053797265198690436,0.3284313725490196,408,35,Raw_Autonomic_Only (7 feats),7
ML_Model (Gradient Boosted Trees - GBDT),0.2549019607843137,0.25137942836690863,0.25173454674417556,0.005978618025613391,0.27450980392156865,408,35,Raw_Autonomic_Only (7 feats),7
Math_Model (Multinomial Logistic Regression),0.3712121212121212,0.3651006971298199,0.36476048753980916,0.16175870511425472,0.4595959595959596,396,34,Parsimonious_Core_Math (8 feats),8
ML_Model (Random Forest),0.3838383838383838,0.3832175012357,0.38310584853697927,0.17842323651452274,0.4292929292929293,396,34,Parsimonious_Core_Math (8 feats),8
ML_Model (Support Vector Machine - RBF),0.3434343434343434,0.33000807430427614,0.3295106824782219,0.12499575075636538,0.42424242424242425,396,34,Parsimonious_Core_Math (8 feats),8
ML_Model (Gradient Boosted Trees - GBDT),0.35353535353535354,0.3531362554906481,0.3530375345100284,0.1381643826299861,0.35353535353535354,396,34,Parsimonious_Core_Math (8 feats),8
