Feature,Beta (Standardized),Std_Error,z_statistic,p_value,Significance,Odds_Ratio,OR_CI_Lower_95,OR_CI_Upper_95
pupil_diam_skew,0.48709226925302773,0.12054646384550245,4.0407014334099935,5.329156910579971e-05,***,1.627576777744045,1.285085870815979,2.0613456482637025
gaze_entropy_y,-0.5409905697982703,0.13392327101539353,-4.039556125657111,5.355245239666455e-05,***,0.5821712853654178,0.44777009563261866,0.7569138913244864
emg_flexor_rms_mV,0.7376666310162276,0.224165524928552,3.2907229211599027,0.0009993028922753733,***,2.0910506249141343,1.347579844138623,3.2447002936205993
pupil_diam_kurt,0.3249318414084857,0.11172202756609198,2.9083954926996296,0.0036328857782190896,**,1.3839363156160576,1.1117781728696057,1.7227175100383814
delta_HR,0.3187893188093266,0.11630776850101618,2.7409116597963217,0.006126897797984135,**,1.3754615105091308,1.0950831335371627,1.7276262495078016
overall_gaze_entropy_LY,0.4975278168092949,0.21542882920890494,2.309476492242521,0.020917154684557668,*,1.6446503637757233,1.0782022494432213,2.5086896456248384
delta_HRV_RMSSD,0.24980883406959187,0.11413268952247163,2.1887579721005954,0.02861443592090828,*,1.2837799782347752,1.026456801344259,1.6056116831786023
delta_EMG_flexor,-0.43720595954886726,0.2147675742736175,-2.0357168023505237,0.04177880088489849,*,0.6458384011259289,0.4239487642129612,0.9838623805007056
pupil_diam_skew_R,-0.4770539811984001,0.24039501131854724,-1.9844587397292377,0.04720472336789695,*,0.6206090271701785,0.387430211623032,0.9941288857975541
fix_density_stdev,-0.29192172192366955,0.1957490024767337,-1.4913063066994006,0.13588109390332415,,0.7468269938657731,0.5088598130411881,1.0960790073659088
eyes_closed_fraction_R,-0.294985944639384,0.21062460337177788,-1.4005293774664025,0.16135485251119464,,0.7445420521994038,0.4927257333711925,1.1250536149198611
delta_HRV_LF_HF,0.1401368021995001,0.1036987722320453,1.3513834270469272,0.17657263987887784,,1.150431169607025,0.9388410812743533,1.409708099060729
pupil_diam_std_mm,0.22594629767520338,0.16897180850678814,1.3371834016094253,0.18116277854998952,,1.253508347158239,0.9001153462223104,1.7456464696329095
emg_extensor_rms_mV,-0.18546821323244933,0.1589093455673804,-1.1671321945870547,0.24315698816275622,,0.830715240913514,0.6083987292031835,1.1342689890062752
fix_dur_stdev,-0.18138834063796466,0.15979661799427478,-1.1351200226556952,0.25632503329023093,,0.8341113764480613,0.6098245679160147,1.1408884209071377
psd_max_LZ,0.2126421700351974,0.2267546366611679,0.937763272082245,0.34836607970022593,,1.236941957146729,0.7931136499590887,1.9291376531331976
psd_max_RY,0.18542120621502212,0.2145425927279026,0.8642629132863413,0.3874434784084534,,1.2037253499619982,0.7905119158110004,1.8329321660567588
pupil_diam_stdev_R,-0.13849918085076893,0.2362625491838587,-0.5862087805672043,0.5577352218202086,,0.8706639644725412,0.5479532706827523,1.3834313610109517
fix_dur_kurt,0.06371040558435581,0.11485425260712712,0.5547065444958749,0.5790953990502637,,1.065783709055828,0.8509517985226543,1.33485224011611
fix_density_kurt,0.035517208454438884,0.12173969232293916,0.29174715145675173,0.7704799550617942,,1.0361554786089922,0.8162062456050051,1.3153760849448293
delta_EDA_tonic,0.024631869015328777,0.11250013723863063,0.2189496797064405,0.8266892464085215,,1.0249377397265562,0.8221237496576926,1.277784969419965
delta_pupil_diam,-0.02315818660351289,0.11924129475384114,-0.19421280732752938,0.8460092550019909,,0.977107906166604,0.7734712102300143,1.2343573331053461
eyes_closed_fraction_L,0.027741080913656627,0.24322056551220528,0.11405729961706107,0.9091923712287207,,1.0281294476187974,0.6382900546807506,1.6560655352677103
pupil_diam_kurt_L,-0.0069868009938112065,0.2452394431875723,-0.02848971153660354,0.977271573704426,,0.9930375499555026,0.6140694311187388,1.60588286217906
