Subject,N_test,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Extreme_Acc_1v4
sub-cp004,12,0.25,0.13636363636363635,0.13636363636363635,0.0,0.5
sub-cp005,12,0.3333333333333333,0.29444444444444445,0.29444444444444445,0.11111111111111116,0.5
sub-cp006,12,0.4166666666666667,0.3571428571428571,0.35714285714285715,0.2222222222222222,0.16666666666666666
sub-cp008,12,0.08333333333333333,0.1,0.10000000000000002,-0.22222222222222232,0.0
sub-cp009,8,0.25,0.1,0.1,0.0,0.5
sub-cp011,12,0.25,0.11538461538461539,0.11538461538461538,0.0,0.5
sub-cp012,12,0.25,0.11538461538461539,0.11538461538461538,0.0,0.5
sub-cp013,12,0.25,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
sub-cp014,12,0.5833333333333334,0.5541666666666667,0.5541666666666667,0.4444444444444444,0.6666666666666666
sub-cp015,12,0.3333333333333333,0.2777777777777778,0.27777777777777773,0.11111111111111116,0.6666666666666666
sub-cp016,12,0.25,0.13636363636363635,0.13636363636363635,0.0,0.5
sub-cp017,12,0.5833333333333334,0.5595238095238095,0.5595238095238095,0.4444444444444444,0.3333333333333333
sub-cp018,12,0.5,0.5095238095238095,0.5095238095238096,0.33333333333333337,0.5
sub-cp019,12,0.4166666666666667,0.33636363636363636,0.3363636363636364,0.2222222222222222,0.5
sub-cp020,12,0.3333333333333333,0.30952380952380953,0.30952380952380953,0.11111111111111116,0.3333333333333333
sub-cp022,12,0.25,0.13636363636363635,0.13636363636363635,0.0,0.5
sub-cp023,12,0.25,0.225,0.225,0.0,0.5
sub-cp024,12,0.16666666666666666,0.18055555555555555,0.18055555555555555,-0.11111111111111116,0.16666666666666666
sub-cp025,12,0.25,0.10714285714285714,0.10714285714285714,0.0,0.5
sub-cp026,7,0.42857142857142855,0.3666666666666667,0.41904761904761906,0.26315789473684215,0.75
sub-cp027,11,0.36363636363636365,0.35119047619047616,0.3528138528138528,0.1630434782608695,0.5
sub-cp028,11,0.2727272727272727,0.20833333333333331,0.22727272727272727,0.0,0.4
sub-cp029,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.5
sub-cp030,11,0.18181818181818182,0.1111111111111111,0.1212121212121212,-0.1123595505617978,0.3333333333333333
sub-cp031,12,0.16666666666666666,0.1,0.06666666666666667,-0.04347826086956541,0.4
sub-cp032,12,0.25,0.13636363636363635,0.13636363636363635,0.0,0.5
sub-cp033,12,0.4166666666666667,0.4111111111111111,0.41111111111111115,0.2222222222222222,0.5
sub-cp035,12,0.3333333333333333,0.275,0.27499999999999997,0.11111111111111116,0.6666666666666666
sub-cp036,12,0.3333333333333333,0.2403846153846154,0.2403846153846154,0.11111111111111116,0.6666666666666666
sub-cp037,12,0.75,0.7309523809523809,0.730952380952381,0.6666666666666667,0.8333333333333334
sub-cp038,12,0.25,0.13636363636363635,0.13636363636363635,0.0,0.5
sub-cp039,12,0.3333333333333333,0.23636363636363636,0.23636363636363636,0.11111111111111116,0.5
sub-cp042,12,0.4166666666666667,0.42142857142857143,0.42142857142857143,0.2222222222222222,0.5
sub-cp043,12,0.3333333333333333,0.27777777777777773,0.27777777777777773,0.11111111111111116,0.3333333333333333
